iter	Passed	Remaining
0	70	70179
1	70	35415
2	71	23777
3	71	17923
4	72	14414
5	72	12074
6	73	10403
7	73	9149
8	74	8177
9	74	7400
10	75	6759
11	75	6227
12	76	5777
13	76	5388
14	76	5054
15	77	4761
16	77	4501
17	78	4270
18	78	4063
19	79	3877
20	79	3710
21	80	3557
22	80	3417
23	80	3290
24	81	3173
25	81	3064
26	82	2963
27	82	2869
28	83	2782
29	83	2700
30	83	2624
31	84	2552
32	84	2486
33	85	2422
34	85	2362
35	86	2306
36	86	2252
37	86	2202
38	87	2153
39	87	2107
40	88	2064
41	88	2023
42	89	1984
43	89	1946
44	90	1910
45	90	1876
46	90	1843
47	91	1812
48	91	1782
49	92	1753
50	92	1725
51	93	1698
52	93	1672
53	94	1647
54	94	1623
55	94	1600
56	95	1578
57	95	1556
58	96	1536
59	96	1515
60	97	1495
61	97	1476
62	98	1458
63	98	1440
64	98	1423
65	99	1406
66	99	1390
67	100	1371
68	100	1356
69	100	1341
70	101	1326
71	101	1312
72	102	1298
73	102	1285
74	103	1272
75	103	1259
76	104	1247
77	104	1234
78	104	1223
79	105	1211
80	105	1200
81	106	1188
82	106	1178
83	107	1167
84	107	1155
85	107	1145
86	108	1134
87	108	1125
88	108	1115
89	109	1106
90	109	1097
91	110	1088
92	110	1079
93	111	1071
94	111	1063
95	112	1055
96	112	1047
97	112	1039
98	113	1031
99	113	1024
100	114	1016
101	114	1007
102	114	1000
103	115	993
104	115	986
105	116	979
106	116	973
107	117	966
108	117	960
109	117	954
110	118	947
111	118	941
112	119	935
113	119	929
114	120	924
115	120	917
116	120	912
117	121	906
118	121	900
119	122	895
120	122	890
121	122	885
122	123	878
123	123	873
124	124	868
125	124	864
126	125	859
127	125	853
128	125	848
129	126	844
130	126	840
131	127	835
132	127	831
133	127	826
134	128	822
135	128	818
136	129	814
137	129	809
138	130	805
139	130	801
140	130	797
141	131	793
142	131	789
143	132	786
144	132	782
145	133	778
146	133	774
147	133	771
148	134	767
149	134	764
150	135	760
151	135	757
152	136	753
153	136	750
154	137	747
155	137	743
156	137	740
157	138	737
158	138	733
159	139	730
160	139	727
161	140	724
162	140	721
163	140	718
164	141	715
165	141	712
166	142	709
167	142	707
168	143	704
169	143	701
170	144	698
171	144	695
172	144	692
173	145	690
174	145	687
175	146	684
176	146	682
177	147	679
178	147	677
179	148	674
180	148	670
181	148	668
182	149	665
183	149	663
184	149	660
185	150	658
186	150	655
187	151	653
188	151	651
189	152	648
190	152	646
191	153	644
192	153	641
193	153	639
194	154	637
195	154	634
196	155	632
197	155	630
198	156	628
199	156	626
200	156	623
201	157	621
202	157	619
203	158	618
204	158	616
205	159	614
206	159	612
207	160	610
208	160	608
209	161	606
210	161	604
211	162	602
212	162	600
213	162	598
214	163	596
215	163	594
216	164	592
217	164	590
218	165	588
219	165	586
220	165	584
221	166	583
222	166	581
223	167	579
224	167	578
225	168	576
226	168	574
227	169	572
228	169	571
229	170	569
230	170	567
231	170	565
232	171	564
233	171	562
234	172	560
235	172	558
236	173	557
237	173	555
238	173	553
239	174	552
240	174	550
241	175	548
242	175	547
243	176	545
244	176	543
245	176	542
246	177	540
247	177	539
248	178	538
249	178	536
250	179	535
251	179	533
252	180	531
253	180	530
254	181	528
255	181	527
256	181	526
257	182	524
258	182	523
259	183	521
260	183	520
261	184	518
262	184	517
263	185	516
264	185	515
265	186	513
266	186	512
267	187	511
268	187	509
269	188	508
270	188	507
271	189	505
272	189	504
273	189	503
274	190	502
275	190	500
276	191	499
277	191	498
278	192	497
279	192	496
280	193	495
281	193	493
282	194	492
283	194	491
284	195	490
285	195	489
286	196	487
287	196	486
288	197	485
289	197	484
290	198	483
291	199	482
292	199	481
293	200	480
294	200	479
295	201	478
296	201	477
297	202	476
298	202	475
299	203	474
300	203	473
301	204	471
302	204	471
303	205	470
304	205	468
305	206	467
306	206	466
307	207	465
308	207	464
309	207	462
310	208	461
311	209	460
312	209	459
313	209	458
314	210	457
315	210	456
316	211	455
317	211	454
318	212	453
319	212	452
320	213	451
321	213	449
322	214	448
323	214	447
324	214	446
325	215	445
326	215	444
327	216	443
328	216	442
329	217	440
330	217	439
331	218	439
332	218	438
333	219	437
334	219	436
335	220	435
336	220	434
337	221	433
338	221	432
339	222	431
340	222	430
