iter	Passed	Remaining
0	144	144168
1	145	72406
2	145	48393
3	146	36371
4	146	29162
5	147	24353
6	147	20918
7	147	18341
8	148	16334
9	148	14728
10	149	13415
11	149	12321
12	150	11395
13	150	10600
14	150	9913
15	151	9312
16	151	8781
17	152	8307
18	152	7884
19	153	7503
20	153	7159
21	154	6847
22	154	6561
23	154	6299
24	155	6061
25	155	5840
26	156	5638
27	157	5450
28	157	5272
29	157	5108
30	158	4955
31	159	4811
32	159	4676
33	160	4548
34	160	4428
35	161	4314
36	161	4205
37	162	4102
38	162	4004
39	162	3911
40	163	3823
41	163	3739
42	164	3658
43	164	3581
44	165	3508
45	165	3437
46	166	3370
47	166	3305
48	167	3243
49	167	3184
50	168	3127
51	168	3071
52	168	3018
53	169	2967
54	169	2918
55	170	2870
56	170	2826
57	171	2784
58	171	2741
59	172	2700
60	172	2660
61	173	2621
62	173	2585
63	174	2549
64	174	2514
65	175	2479
66	175	2446
67	176	2414
68	176	2383
69	177	2352
70	177	2323
71	178	2294
72	178	2266
73	178	2239
74	179	2212
75	179	2187
76	180	2161
77	180	2136
78	181	2112
79	181	2089
80	182	2066
81	182	2044
82	182	2020
83	183	1999
84	183	1978
85	184	1958
86	184	1939
87	185	1919
88	185	1901
89	186	1883
90	186	1866
91	187	1848
92	187	1831
93	188	1814
94	188	1797
95	189	1781
96	189	1765
97	190	1749
98	190	1734
99	191	1719
100	191	1704
101	191	1689
102	192	1675
103	192	1661
104	193	1647
105	193	1633
106	194	1620
107	194	1607
108	195	1594
109	195	1581
110	195	1569
111	196	1556
112	196	1545
113	197	1533
114	197	1521
115	198	1510
116	198	1498
117	199	1487
118	199	1477
119	199	1466
120	200	1456
121	200	1445
122	201	1436
123	201	1426
124	202	1416
125	202	1406
126	203	1396
127	203	1387
128	204	1377
129	204	1368
130	204	1359
131	205	1350
132	205	1341
133	206	1333
134	206	1324
135	207	1316
136	207	1307
137	208	1299
138	208	1291
139	208	1283
140	209	1275
141	209	1266
142	210	1259
143	210	1252
144	211	1245
145	211	1238
146	212	1231
147	212	1224
148	213	1217
149	213	1210
150	214	1204
151	214	1197
152	215	1191
153	215	1185
154	216	1178
155	216	1172
156	217	1166
157	217	1160
158	218	1154
159	218	1148
160	219	1141
161	219	1136
162	220	1130
163	220	1124
164	221	1118
165	221	1112
166	221	1107
167	222	1101
168	222	1096
169	223	1091
170	224	1086
171	224	1081
172	225	1077
173	225	1072
174	226	1068
175	227	1063
176	227	1058
177	228	1053
178	228	1048
179	229	1044
180	229	1039
181	230	1034
182	230	1029
183	231	1025
184	231	1020
185	232	1016
186	232	1011
187	233	1006
188	233	1002
189	234	997
190	234	993
191	235	989
192	235	984
193	236	980
194	236	976
195	236	972
196	237	967
197	237	963
198	238	959
199	238	955
200	239	951
201	239	947
202	240	943
203	240	939
204	241	935
205	241	931
206	242	927
207	242	923
208	243	920
209	243	916
210	244	912
211	244	908
212	244	905
213	245	901
214	246	898
215	246	895
216	247	891
217	247	888
218	248	884
219	248	881
220	249	877
221	249	874
222	250	871
223	250	868
224	251	865
225	251	861
226	252	858
227	252	855
228	253	852
229	253	848
230	254	845
231	254	842
232	254	839
233	255	835
234	255	832
235	256	829
236	256	826
237	257	823
238	257	820
239	258	817
240	258	814
241	258	810
242	259	807
243	259	804
244	260	801
245	260	799
246	261	796
247	261	793
248	262	791
249	262	788
250	263	785
251	263	783
252	264	780
253	264	777
254	265	774
255	265	772
256	266	770
257	266	767
258	267	764
259	267	762
260	268	759
261	268	756
262	269	754
263	269	751
264	270	749
265	270	746
266	271	744
267	271	741
268	271	739
269	272	736
270	272	734
271	273	731
272	273	729
273	274	726
274	274	724
275	275	721
276	275	719
277	276	716
278	276	714
279	277	712
280	277	710
281	278	708
282	278	705
283	279	703
284	279	701
285	280	699
286	280	697
287	281	695
288	281	693
289	282	691
290	282	688
291	283	686
292	283	684
293	284	682
294	284	680
295	285	677
296	285	675
297	285	673
298	286	671
299	286	669
300	287	667
301	287	665
302	288	663
303	288	661
304	289	658
305	289	656
306	290	654
307	290	652
308	291	650
309	291	648
310	291	646
311	292	644
312	292	643
313	293	641
314	293	639
315	294	637
316	294	635
317	295	633
318	295	631
319	296	630
320	296	628
321	297	626
322	297	624
323	298	622
324	298	620
325	299	618
326	299	616
327	300	614
328	300	613
329	301	611
330	301	609
331	301	607
332	302	605
333	302	603
334	303	601
335	303	600
336	304	598
337	304	596
338	304	594
339	305	592
340	305	591
341	306	589
342	306	587
343	307	586
344	307	584
345	308	582
346	308	581
347	309	579
348	309	577
349	310	576
350	310	574
351	311	573
352	311	571
353	312	569
354	312	568
355	313	566
356	313	565
357	314	563
358	314	561
359	315	560
360	315	558
361	316	556
362	316	555
363	316	553
364	317	552
365	317	550
366	318	549
367	318	547
368	319	546
369	319	544
370	320	542
371	320	541
372	321	539
373	321	538
374	322	537
375	322	535
376	323	534
377	323	532
378	324	531
379	324	529
380	325	528
381	325	526
382	326	525
383	326	524
384	327	522
385	327	521
386	328	519
387	328	518
388	329	516
389	329	515
390	330	514
391	330	512
392	331	511
393	331	509
394	332	508
395	332	507
396	332	505
397	333	504
398	333	502
399	334	501
400	334	500
401	335	498
402	335	497
403	336	496
404	336	494
405	337	493
406	337	492
407	338	490
408	338	489
409	339	488
410	339	486
411	340	485
412	340	484
413	341	482
414	341	481
415	342	480
416	342	479
417	343	477
418	343	476
419	344	475
420	344	474
421	345	472
422	345	471
423	346	470
424	346	468
425	347	467
426	347	466
427	347	465
428	348	463
429	348	462
430	349	461
431	349	459
432	350	458
433	350	457
434	351	456
435	351	454
436	352	453
437	352	452
438	353	451
439	353	449
440	354	448
441	354	447
442	355	446
443	355	445
444	356	444
445	356	442
446	357	441
447	357	440
448	357	439
449	358	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	431
455	361	430
456	361	429
457	361	428
458	362	427
459	362	425
460	363	424
461	363	423
462	364	422
463	364	421
464	365	420
465	365	418
466	365	417
467	366	416
468	366	415
469	367	414
470	368	413
471	368	412
472	369	411
473	369	410
474	370	409
475	370	407
476	371	406
477	371	405
478	372	404
479	372	403
480	372	402
481	373	401
482	373	400
483	374	399
484	374	397
485	375	396
486	375	395
487	376	394
488	376	393
489	377	392
490	377	391
491	378	390
492	378	389
493	378	388
494	379	387
495	379	385
496	380	384
497	380	383
498	381	382
499	381	381
500	382	380
501	382	379
502	383	379
503	384	378
504	384	377
505	385	376
506	386	375
507	386	374
508	387	373
509	388	372
510	388	371
511	389	371
512	389	370
513	390	369
514	391	368
515	391	367
516	392	366
517	393	365
518	393	364
519	394	364
520	394	363
521	395	362
522	396	361
523	396	360
524	397	359
525	397	358
526	398	357
527	399	357
528	400	356
529	400	355
530	401	354
531	402	353
532	402	352
533	403	351
534	403	351
535	404	350
536	405	349
537	405	348
538	406	347
539	407	346
540	407	345
541	408	345
542	408	344
543	409	343
544	410	342
545	410	341
546	411	340
547	412	339
548	412	339
549	413	338
550	414	337
551	414	336
552	415	335
553	416	335
554	417	334
555	417	333
556	418	332
557	419	331
558	419	331
559	420	330
560	420	329
561	421	328
562	421	327
563	422	326
564	422	325
565	423	324
566	423	323
567	424	322
568	425	322
569	425	321
570	426	320
571	426	319
572	427	318
573	427	317
574	428	316
575	429	316
576	430	315
577	430	314
578	431	313
579	431	312
580	432	311
581	433	311
582	433	310
583	434	309
584	435	308
585	435	307
586	436	306
587	436	306
588	437	305
589	437	304
590	438	303
591	439	302
592	439	301
593	440	301
594	441	300
595	441	299
596	442	298
597	443	297
598	443	297
599	444	296
600	445	295
601	445	294
602	446	293
603	447	293
604	447	292
605	448	291
606	449	290
607	449	289
608	450	289
609	450	288
610	451	287
611	452	286
612	452	285
613	453	284
614	453	284
615	454	283
616	455	282
617	456	282
618	457	281
619	457	280
620	458	279
621	459	279
622	460	278
623	461	277
624	461	277
625	462	276
626	463	275
627	463	274
628	464	274
629	465	273
630	465	272
631	466	271
632	466	270
633	467	269
634	468	269
635	468	268
636	469	267
637	470	266
638	470	265
639	471	265
640	472	264
641	472	263
642	473	262
643	473	261
644	474	261
645	475	260
646	475	259
647	476	258
648	477	258
649	477	257
650	478	256
651	478	255
652	479	254
653	480	253
654	480	253
655	481	252
656	481	251
657	482	250
658	483	250
659	483	249
660	484	248
661	484	247
662	485	246
663	486	246
664	486	245
665	487	244
666	488	243
667	488	242
668	489	242
669	490	241
670	490	240
671	491	239
672	492	239
673	492	238
674	493	237
675	494	236
676	494	236
677	495	235
678	495	234
679	496	233
680	497	232
681	497	232
682	498	231
683	499	230
684	499	229
